structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Medium,Granular,NA,NA,33218082,40423599
Weak,Fine,Granular,1,NA,33218105,40423628
Moderate,Medium,Granular,2,NA,33218106,40423629
Weak,Fine,Subangular blocky,1,2,33218106,40423630
Weak,Medium,Granular,NA,NA,33218107,40423631
Moderate,Medium,Granular,NA,NA,33218283,40423845
Moderate,Medium,Granular,NA,NA,33218284,40423846
Moderate,Medium,Granular,NA,NA,33218285,40423847
,,Massive,NA,NA,33218286,40423848
,,Massive,1,NA,33218287,40423849
,,Massive,1,NA,33218288,40423850
Moderate,Medium,Granular,NA,NA,33218289,40423851
Moderate,Medium,Granular,NA,NA,33218787,40424573
,,Single grain,NA,NA,33218788,40424574
Weak,Medium,Subangular blocky,NA,NA,33218789,40424575
Moderate,Medium,Subangular blocky,NA,NA,33218790,40424576
Weak,Fine,Subangular blocky,NA,NA,33218791,40424577
Weak,Fine,Subangular blocky,NA,NA,33218792,40424578
Weak,Fine,Subangular blocky,1,2,33218793,40424579
Moderate,Medium,Granular,2,NA,33218793,40424580
Weak,Fine,Subangular blocky,NA,NA,33218794,40424581
Weak,Fine,Subangular blocky,NA,NA,33218795,40424582
,,Single grain,NA,NA,33218796,40424583
,,Single grain,NA,NA,33218797,40424584
Moderate,Fine,Subangular blocky,NA,NA,33218798,40424585
Weak,Fine,Subangular blocky,NA,NA,33218799,40424586
Weak,Very fine,Granular,NA,NA,33218800,40424587
Weak,Medium,Subangular blocky,NA,NA,33219182,40425014
Weak,Fine,Subangular blocky,NA,NA,33219183,40425015
Moderate,Very fine,Subangular blocky,NA,NA,33219184,40425016
Weak,Fine,Subangular blocky,NA,NA,33219185,40425017
Weak,Medium,Subangular blocky,NA,NA,33219186,40425018
,,Massive,NA,NA,33219187,40425019
,,Massive,NA,NA,33219188,40425020
Weak,Very fine,Subangular blocky,NA,NA,33219189,40425021
Weak,Fine,Subangular blocky,NA,NA,33219190,40425022
Weak,Medium,Subangular blocky,NA,NA,33219191,40425023
Weak,Fine,Subangular blocky,NA,NA,33219192,40425024
Weak,Fine,Subangular blocky,1,2,33219421,40425383
Weak,Fine,Granular,2,NA,33219421,40425384
Weak,Fine,Granular,2,NA,33219422,40425385
Weak,Fine,Subangular blocky,1,2,33219422,40425386
Moderate,Medium,Prismatic,1,2,33219423,40425387
Moderate,Medium,Subangular blocky,2,NA,33219423,40425388
Moderate,Medium,Subangular blocky,2,NA,33219424,40425389
Moderate,Medium,Prismatic,1,2,33219424,40425390
,,Massive,NA,NA,33219425,40425391
Weak,Fine,Subangular blocky,1,2,33219426,40425392
Weak,Fine,Granular,2,NA,33219426,40425393
Moderate,Fine,Granular,2,NA,33219427,40425394
Weak,Fine,Subangular blocky,1,2,33219427,40425395
Weak,Medium,Subangular blocky,1,2,33219428,40425396
Weak,Fine,Granular,2,NA,33219428,40425397
Weak,Medium,Subangular blocky,NA,NA,33219429,40425398
Weak,Medium,Prismatic,1,2,33219430,40425399
Weak,Medium,Subangular blocky,2,NA,33219430,40425400
Weak,Coarse,Prismatic,1,2,33219431,40425401
Weak,Medium,Subangular blocky,2,NA,33219431,40425402
,,Massive,NA,NA,33219432,40425403
