structgrpname,rvindicator,chkey,chstructgrpkey
moderate medium granular structure,Yes,59965160,33218082
weak fine granular structure,Yes,59965251,33218105
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,59965252,33218106
weak medium granular structure,Yes,59965255,33218107
moderate medium granular structure,Yes,59965612,33218283
moderate medium granular structure,Yes,59965615,33218284
moderate medium granular structure,Yes,59965620,33218285
massive,Yes,59965621,33218286
massive,Yes,59965622,33218287
massive,Yes,59965623,33218288
moderate medium granular structure,Yes,59965625,33218289
moderate medium granular structure,Yes,59966070,33218787
single grain,Yes,59966075,33218788
weak medium subangular blocky structure,Yes,59966076,33218789
moderate medium subangular blocky structure,Yes,59966077,33218790
weak fine subangular blocky structure,Yes,59966078,33218791
weak fine subangular blocky structure,Yes,59966079,33218792
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,59966081,33218793
weak fine subangular blocky structure,Yes,59966085,33218794
weak fine subangular blocky structure,Yes,59966086,33218795
single grain,Yes,59966087,33218796
single grain,Yes,59966088,33218797
moderate fine subangular blocky structure,Yes,59966089,33218798
weak fine subangular blocky structure,Yes,59966090,33218799
weak very fine granular structure,Yes,59966091,33218800
weak medium subangular blocky structure,No ,59966359,33219182
weak fine subangular blocky structure,Yes,59966359,33219183
moderate very fine subangular blocky structure,No ,59966360,33219184
weak fine subangular blocky structure,Yes,59966360,33219185
weak medium subangular blocky structure,Yes,59966361,33219186
massive,Yes,59966362,33219187
massive,Yes,59966363,33219188
weak very fine subangular blocky structure,No ,59966364,33219189
weak fine subangular blocky structure,Yes,59966364,33219190
weak medium subangular blocky structure,No ,59966365,33219191
weak fine subangular blocky structure,Yes,59966365,33219192
weak fine subangular blocky structure parts to weak fine granular structure,Yes,59966594,33219421
weak fine subangular blocky structure parts to weak fine granular structure,Yes,59966595,33219422
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,59966596,33219423
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,59966597,33219424
massive,Yes,59966598,33219425
weak fine subangular blocky structure parts to weak fine granular structure,Yes,59966599,33219426
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,59966600,33219427
weak medium subangular blocky structure parts to weak fine granular structure,Yes,59966601,33219428
weak medium subangular blocky structure,Yes,59966602,33219429
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,59966603,33219430
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,59966604,33219431
massive,Yes,59966605,33219432
