featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,0,48,50,0,48,50,20428582,10783326
Cambic horizon,0,48,50,50,97,100,45,49,50,20428582,10783327
Lithologic discontinuity,50,97,100,200,200,200,100,103,150,20428582,10783328
Mollic epipedon,0,0,0,0,46,71,0,46,71,20428584,10783329
Cambic horizon,0,46,71,50,76,100,26,30,54,20428584,10783330
Lithologic discontinuity,50,76,100,200,200,200,100,124,150,20428584,10783331
Free carbonates,122,200,200,200,200,200,0,0,78,20428651,10783485
Mollic epipedon,0,0,0,90,91,200,90,91,200,20428651,10783486
Mollic epipedon,0,0,0,100,112,150,100,112,150,20428652,10783487
Free carbonates,100,200,200,200,200,200,0,0,100,20428652,10783488
Mollic epipedon,0,0,0,68,97,159,68,97,159,20428704,10783576
Cambic horizon,68,97,159,102,155,190,34,58,58,20428704,10783577
Aquic conditions,0,0,0,200,200,200,200,200,200,20428704,10783578
Aquic conditions,0,0,0,200,200,200,200,200,200,20428705,10783579
Mollic epipedon,0,0,0,110,117,200,110,117,200,20428705,10783580
Cambic horizon,90,102,110,110,117,120,10,15,30,20428705,10783581
