ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R108CY522IA,Terrace Savanna Quercus alba-Populus deltoides/Elymus virginicus-Carex davisii (White Oak-Eastern Cottonwood/Virginia Wildrye-Davis' Sedge),20428362,6751311
NRCS Rangeland Site,Ecological Site Description Database,R108CY522IA,Terrace Savanna Quercus alba-Populus deltoides/Elymus virginicus-Carex davisii (White Oak-Eastern Cottonwood/Virginia Wildrye-Davis' Sedge),20428363,6751312
NRCS Rangeland Site,Ecological Site Description Database,R108CY522IA,Terrace Savanna Quercus alba-Populus deltoides/Elymus virginicus-Carex davisii (White Oak-Eastern Cottonwood/Virginia Wildrye-Davis' Sedge),20428392,6751339
NRCS Rangeland Site,Ecological Site Description Database,R108CY523IA,Wet Terrace Sedge Meadow Carex pellita-Leersia oryzoides (Woolly Sedge-Rice Cutgrass),20428393,6751340
NRCS Rangeland Site,Ecological Site Description Database,R108CY522IA,Terrace Savanna Quercus alba-Populus deltoides/Elymus virginicus-Carex davisii (White Oak-Eastern Cottonwood/Virginia Wildrye-Davis' Sedge),20428394,6751341
NRCS Forestland Site,Ecological Site Description Database,F108CY529IA,Loamy Floodplain Forest Quercus bicolor-Quercus macrocarpa/Celtis occidentalis/Elymus virginicus-Rudbeckia laciniata (Swamp White Oak-Bur Oak/Common Hackberry/Virginia Wildrye-Cutleaf Coneflower),20428500,6751435
NRCS Forestland Site,Ecological Site Description Database,F108CY528IA,Floodplain Swamp Forest Platanus occidentalis-Acer saccharinum/Sambucus canadensis-Smilax tamnoides/Laportea canadensis-bare (American Sycamore-Silver Maple/American Black Elderberry-Bristly Greenbriar/Canadian Woodnettle),20428501,6751436
NRCS Forestland Site,Ecological Site Description Database,F108CY529IA,Loamy Floodplain Forest Quercus bicolor-Quercus macrocarpa/Celtis occidentalis/Elymus virginicus-Rudbeckia laciniata (Swamp White Oak-Bur Oak/Common Hackberry/Virginia Wildrye-Cutleaf Coneflower),20428502,6751437
NRCS Rangeland Site,Ecological Site Description Database,R108CY527IA,Wet Floodplain Sedge Meadow Carex pellita-Eleocharis erythropoda (Wolly Sedge-Bald Spikerush),20428503,6751438
NRCS Rangeland Site,Ecological Site Description Database,R108CY527IA,Wet Floodplain Sedge Meadow Carex pellita-Eleocharis erythropoda (Wolly Sedge-Bald Spikerush),20428504,6751439
NRCS Rangeland Site,Ecological Site Description Database,R104XY015IA,Terrace Savanna Quercus macrocarpa-Fraxinus pennsylvanica/Elymus virginicus-Andropogon gerardii (Bur Oak-Green Ash/Virginia Wildrye-Big Bluestem),20428581,6751519
NRCS Rangeland Site,Ecological Site Description Database,R104XY015IA,Terrace Savanna Quercus macrocarpa-Fraxinus pennsylvanica/Elymus virginicus-Andropogon gerardii (Bur Oak-Green Ash/Virginia Wildrye-Big Bluestem),20428582,6751520
NRCS Rangeland Site,Ecological Site Description Database,R104XY014IA,Ponded Floodplain Marsh Bolboschoenus fluviatilis-Sagittaria latifolia (River Bulrush-Broadleaf Arrowhead),20428583,6751521
NRCS Rangeland Site,Ecological Site Description Database,R104XY016IA,Wet Terrace Sedge Meadow Carex brevior-Rudbeckia subtomentosa (Shortbeak Sedge - Sweet Coneflower),20428584,6751522
NRCS Forestland Site,Ecological Site Description Database,F103XY033MN,Wet Floodplains,20428651,6751590
Forage Suitability Groups,,G103XS001MN,"Level Swale, Neutral",20428651,6751643
NRCS Forestland Site,Ecological Site Description Database,F103XY032MN,Loamy Floodplains,20428652,6751591
Forage Suitability Groups,,G103XS001MN,"Level Swale, Neutral",20428652,6751644
NRCS Rangeland Site,Ecological Site Description Database,R108CY527IA,Wet Floodplain Sedge Meadow Carex pellita-Eleocharis erythropoda (Wolly Sedge-Bald Spikerush),20428704,6751637
NRCS Rangeland Site,Ecological Site Description Database,R108CY525IA,Ponded Floodplain Marsh Bolboschoenus fluviatilis-Sagittaria latifolia (River Bulrush-Broadleaf Arrowhead),20428705,6751638
