plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
ANGE,Andropogon gerardii,big bluestem,30,NA,20428502,85428833
CAREX,Carex,sedge,5,NA,20428502,85428834
POPR,Poa pratensis,Kentucky bluegrass,5,NA,20428502,85428835
2GP,,other perennial grasses,5,NA,20428502,85428836
SONU2,Sorghastrum nutans,yellow Indiangrass,5,NA,20428502,85428837
PASM,Pascopyrum smithii,western wheatgrass,10,NA,20428502,85428838
BOCU,Bouteloua curtipendula,sideoats grama,5,NA,20428502,85428839
PAVI2,Panicum virgatum,switchgrass,10,NA,20428502,85428840
2FP,,other perennial forbs,5,NA,20428502,85428841
SCSC,Schizachyrium scoparium,little bluestem,10,NA,20428502,85428842
HESP11,Hesperostipa spartea,porcupinegrass,10,NA,20428502,85428843
