pmgroupname,rvindicator,cokey,copmgrpkey
silty alluvium,Yes,20428362,14889710
silty alluvium,Yes,20428363,14889711
silty alluvium,Yes,20428392,14889740
silty alluvium,Yes,20428393,14889741
sandy outwash,Yes,20428394,14889742
silty alluvium,Yes,20428500,14889845
silty alluvium,Yes,20428501,14889846
silty alluvium,Yes,20428502,14889847
alluvium,Yes,20428503,14889848
alluvium,Yes,20428504,14889849
loamy alluvium over sandy and gravelly alluvium,Yes,20428581,14889926
loamy alluvium over sandy and gravelly alluvium,Yes,20428582,14889927
loamy alluvium over sandy and gravelly alluvium,Yes,20428583,14889928
loamy alluvium over sandy and gravelly alluvium,Yes,20428584,14889929
alluvium,Yes,20428651,14890000
alluvium,Yes,20428652,14890001
silty clay loam alluvium,Yes,20428704,14890045
silty clay loam alluvium,Yes,20428705,14890046
