geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,Tread,,31389490,11868112
NA,,Tread,,31389491,11868113
NA,,Tread,,31389493,11868115
NA,,Tread,,31389494,11868116
NA,,Tread,,31389495,11868117
NA,,Tread,,31389505,11868127
NA,,Tread,,31389506,11868128
NA,,Tread,,31389515,11868138
NA,,Tread,,31389516,11868139
NA,,Tread,,31389538,11868161
NA,,Tread,,31389539,11868162
NA,,,Talf,31389569,11868183
NA,,,Talf,31389570,11868184
NA,,,Talf,31389572,11868185
NA,,,Talf,31389573,11868186
NA,,,Rise,31389574,11868187
NA,,,Talf,31389580,11868192
NA,,Tread,,31389791,11868413
NA,,Tread,,31389792,11868414
NA,,,Talf,31389839,11868421
NA,,,Talf,31389840,11868422
NA,,,Talf,31389841,11868423
NA,,,Talf,31389842,11868424
NA,,Tread,,31389861,11868441
NA,,Tread,,31389871,11868451
NA,,Tread,,31389872,11868452
