plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
POPUL,Populus,cottonwood,20428362,34964618
ACSA3,Acer saccharum,sugar maple,20428362,34964740
QUAL,Quercus alba,white oak,20428362,34964829
CEOC,Celtis occidentalis,common hackberry,20428362,34964903
FRAM2,Fraxinus americana,white ash,20428362,34965095
PIST,Pinus strobus,eastern white pine,20428362,34965275
FRNI,Fraxinus nigra,black ash,20428362,34965343
JUNI,Juglans nigra,black walnut,20428362,34965432
PRSE2,Prunus serotina,black cherry,20428362,34965524
CARYA,Carya,hickory,20428362,34965583
FRPE,Fraxinus pennsylvanica,green ash,20428362,34965710
PIRE,Pinus resinosa,red pine,20428362,34965842
PIGL,Picea glauca,white spruce,20428362,34965910
QUVE,Quercus velutina,black oak,20428362,34965975
QUBI,Quercus bicolor,swamp white oak,20428362,34966039
PIPU,Picea pungens,blue spruce,20428362,34966155
PIBA2,Pinus banksiana,jack pine,20428362,34966223
QUMA2,Quercus macrocarpa,bur oak,20428362,34966363
ACSA2,Acer saccharinum,silver maple,20428362,34966493
ABCO,Abies concolor,white fir,20428362,34966664
QURU,Quercus rubra,northern red oak,20428362,34966733
QUMU,Quercus muehlenbergii,chinkapin oak,20428362,34966807
THOC2,Thuja occidentalis,arborvitae,20428362,34966866
PIAB,Picea abies,Norway spruce,20428362,34966926
POPUL,Populus,cottonwood,20428363,34964619
ACSA3,Acer saccharum,sugar maple,20428363,34964741
CEOC,Celtis occidentalis,common hackberry,20428363,34964904
QUPA2,Quercus palustris,pin oak,20428363,34965035
SALIX,Salix,willow,20428363,34965163
BENI,Betula nigra,river birch,20428363,34965219
FRNI,Fraxinus nigra,black ash,20428363,34965344
JUNI,Juglans nigra,black walnut,20428363,34965433
CARYA,Carya,hickory,20428363,34965584
FRPE,Fraxinus pennsylvanica,green ash,20428363,34965711
QUBI,Quercus bicolor,swamp white oak,20428363,34966040
PLOC,Platanus occidentalis,American sycamore,20428363,34966297
QUMA2,Quercus macrocarpa,bur oak,20428363,34966364
ACSA2,Acer saccharinum,silver maple,20428363,34966494
THUJA,Thuja,red cedar,20428363,34966611
POPUL,Populus,cottonwood,20428392,34964725
ACSA3,Acer saccharum,sugar maple,20428392,34964811
CEOC,Celtis occidentalis,common hackberry,20428392,34965011
QUPA2,Quercus palustris,pin oak,20428392,34965093
SALIX,Salix,willow,20428392,34965213
BENI,Betula nigra,river birch,20428392,34965269
FRNI,Fraxinus nigra,black ash,20428392,34965414
JUNI,Juglans nigra,black walnut,20428392,34965507
CARYA,Carya,hickory,20428392,34965697
FRPE,Fraxinus pennsylvanica,green ash,20428392,34965818
QUBI,Quercus bicolor,swamp white oak,20428392,34966140
PLOC,Platanus occidentalis,American sycamore,20428392,34966355
QUMA2,Quercus macrocarpa,bur oak,20428392,34966469
ACSA2,Acer saccharinum,silver maple,20428392,34966596
THUJA,Thuja,red cedar,20428392,34966662
POPUL,Populus,cottonwood,20428393,34964726
CEOC,Celtis occidentalis,common hackberry,20428393,34965012
QUPA2,Quercus palustris,pin oak,20428393,34965094
SALIX,Salix,willow,20428393,34965214
BENI,Betula nigra,river birch,20428393,34965270
CARYA,Carya,hickory,20428393,34965686
FRPE,Fraxinus pennsylvanica,green ash,20428393,34965819
QUBI,Quercus bicolor,swamp white oak,20428393,34966141
PLOC,Platanus occidentalis,American sycamore,20428393,34966356
QUMA2,Quercus macrocarpa,bur oak,20428393,34966470
ACSA2,Acer saccharinum,silver maple,20428393,34966597
POPUL,Populus,cottonwood,20428394,34964727
ACSA3,Acer saccharum,sugar maple,20428394,34964812
CEOC,Celtis occidentalis,common hackberry,20428394,34965013
QUPA2,Quercus palustris,pin oak,20428394,34965083
SALIX,Salix,willow,20428394,34965215
BENI,Betula nigra,river birch,20428394,34965271
FRNI,Fraxinus nigra,black ash,20428394,34965415
JUNI,Juglans nigra,black walnut,20428394,34965508
CARYA,Carya,hickory,20428394,34965687
FRPE,Fraxinus pennsylvanica,green ash,20428394,34965820
QUBI,Quercus bicolor,swamp white oak,20428394,34966142
PLOC,Platanus occidentalis,American sycamore,20428394,34966357
QUMA2,Quercus macrocarpa,bur oak,20428394,34966471
ACSA2,Acer saccharinum,silver maple,20428394,34966598
THUJA,Thuja,red cedar,20428394,34966663
POPUL,Populus,cottonwood,20428500,34964643
ACSA3,Acer saccharum,sugar maple,20428500,34964746
CEOC,Celtis occidentalis,common hackberry,20428500,34964924
QUPA2,Quercus palustris,pin oak,20428500,34965049
SALIX,Salix,willow,20428500,34965181
BENI,Betula nigra,river birch,20428500,34965237
FRNI,Fraxinus nigra,black ash,20428500,34965349
JUNI,Juglans nigra,black walnut,20428500,34965443
CARYA,Carya,hickory,20428500,34965606
FRPE,Fraxinus pennsylvanica,green ash,20428500,34965731
QUBI,Quercus bicolor,swamp white oak,20428500,34966056
PLOC,Platanus occidentalis,American sycamore,20428500,34966307
QUMA2,Quercus macrocarpa,bur oak,20428500,34966380
ACSA2,Acer saccharinum,silver maple,20428500,34966514
THUJA,Thuja,red cedar,20428500,34966625
POPUL,Populus,cottonwood,20428501,34964632
CEOC,Celtis occidentalis,common hackberry,20428501,34964925
QUPA2,Quercus palustris,pin oak,20428501,34965050
SALIX,Salix,willow,20428501,34965182
BENI,Betula nigra,river birch,20428501,34965238
CARYA,Carya,hickory,20428501,34965607
FRPE,Fraxinus pennsylvanica,green ash,20428501,34965732
QUBI,Quercus bicolor,swamp white oak,20428501,34966057
PLOC,Platanus occidentalis,American sycamore,20428501,34966308
QUMA2,Quercus macrocarpa,bur oak,20428501,34966381
ACSA2,Acer saccharinum,silver maple,20428501,34966503
POPUL,Populus,cottonwood,20428502,34964633
ACSA3,Acer saccharum,sugar maple,20428502,34964747
QUAL,Quercus alba,white oak,20428502,34964840
CEOC,Celtis occidentalis,common hackberry,20428502,34964926
FRAM2,Fraxinus americana,white ash,20428502,34965102
PIST,Pinus strobus,eastern white pine,20428502,34965282
FRNI,Fraxinus nigra,black ash,20428502,34965350
JUNI,Juglans nigra,black walnut,20428502,34965444
PRSE2,Prunus serotina,black cherry,20428502,34965534
CARYA,Carya,hickory,20428502,34965596
FRPE,Fraxinus pennsylvanica,green ash,20428502,34965733
PIRE,Pinus resinosa,red pine,20428502,34965849
PIGL,Picea glauca,white spruce,20428502,34965920
QUVE,Quercus velutina,black oak,20428502,34965984
QUBI,Quercus bicolor,swamp white oak,20428502,34966058
PIPU,Picea pungens,blue spruce,20428502,34966162
PIBA2,Pinus banksiana,jack pine,20428502,34966234
QUMA2,Quercus macrocarpa,bur oak,20428502,34966382
ACSA2,Acer saccharinum,silver maple,20428502,34966504
ABCO,Abies concolor,white fir,20428502,34966674
QURU,Quercus rubra,northern red oak,20428502,34966744
QUMU,Quercus muehlenbergii,chinkapin oak,20428502,34966813
THOC2,Thuja occidentalis,arborvitae,20428502,34966877
PIAB,Picea abies,Norway spruce,20428502,34966936
POPUL,Populus,cottonwood,20428503,34964634
CEOC,Celtis occidentalis,common hackberry,20428503,34964915
QUPA2,Quercus palustris,pin oak,20428503,34965051
SALIX,Salix,willow,20428503,34965171
BENI,Betula nigra,river birch,20428503,34965227
CARYA,Carya,hickory,20428503,34965597
FRPE,Fraxinus pennsylvanica,green ash,20428503,34965722
QUBI,Quercus bicolor,swamp white oak,20428503,34966047
PLOC,Platanus occidentalis,American sycamore,20428503,34966309
QUMA2,Quercus macrocarpa,bur oak,20428503,34966383
ACSA2,Acer saccharinum,silver maple,20428503,34966505
POPUL,Populus,cottonwood,20428504,34964635
ACSA3,Acer saccharum,sugar maple,20428504,34964748
CEOC,Celtis occidentalis,common hackberry,20428504,34964916
QUPA2,Quercus palustris,pin oak,20428504,34965052
SALIX,Salix,willow,20428504,34965172
BENI,Betula nigra,river birch,20428504,34965228
FRNI,Fraxinus nigra,black ash,20428504,34965351
JUNI,Juglans nigra,black walnut,20428504,34965445
CARYA,Carya,hickory,20428504,34965598
FRPE,Fraxinus pennsylvanica,green ash,20428504,34965723
QUBI,Quercus bicolor,swamp white oak,20428504,34966048
PLOC,Platanus occidentalis,American sycamore,20428504,34966310
QUMA2,Quercus macrocarpa,bur oak,20428504,34966384
ACSA2,Acer saccharinum,silver maple,20428504,34966506
THUJA,Thuja,red cedar,20428504,34966626
